PATTERN: 0xff00
PING 142.250.192.142 (142.250.192.142) 56(84) bytes of data.
64 bytes from 142.250.192.142: icmp_seq=163 ttl=111 time=94.9 ms
64 bytes from 142.250.192.142: icmp_seq=164 ttl=111 time=200 ms
64 bytes from 142.250.192.142: icmp_seq=165 ttl=111 time=93.6 ms
64 bytes from 142.250.192.142: icmp_seq=166 ttl=111 time=90.1 ms
64 bytes from 142.250.192.142: icmp_seq=167 ttl=111 time=99.6 ms
64 bytes from 142.250.192.142: icmp_seq=168 ttl=111 time=88.1 ms
64 bytes from 142.250.192.142: icmp_seq=169 ttl=111 time=73.1 ms
64 bytes from 142.250.192.142: icmp_seq=170 ttl=111 time=87.2 ms
64 bytes from 142.250.192.142: icmp_seq=171 ttl=111 time=104 ms
64 bytes from 142.250.192.142: icmp_seq=172 ttl=111 time=179 ms
64 bytes from 142.250.192.142: icmp_seq=173 ttl=111 time=104 ms
64 bytes from 142.250.192.142: icmp_seq=174 ttl=111 time=94.6 ms
64 bytes from 142.250.192.142: icmp_seq=175 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=176 ttl=111 time=130 ms
64 bytes from 142.250.192.142: icmp_seq=177 ttl=111 time=81.4 ms
64 bytes from 142.250.192.142: icmp_seq=178 ttl=111 time=78.5 ms
64 bytes from 142.250.192.142: icmp_seq=179 ttl=111 time=96.3 ms
64 bytes from 142.250.192.142: icmp_seq=180 ttl=111 time=78.6 ms
64 bytes from 142.250.192.142: icmp_seq=181 ttl=111 time=179 ms
64 bytes from 142.250.192.142: icmp_seq=182 ttl=111 time=202 ms
64 bytes from 142.250.192.142: icmp_seq=183 ttl=111 time=101 ms
64 bytes from 142.250.192.142: icmp_seq=184 ttl=111 time=121 ms
64 bytes from 142.250.192.142: icmp_seq=185 ttl=111 time=78.8 ms
64 bytes from 142.250.192.142: icmp_seq=186 ttl=111 time=190 ms
64 bytes from 142.250.192.142: icmp_seq=187 ttl=111 time=214 ms
64 bytes from 142.250.192.142: icmp_seq=188 ttl=111 time=96.6 ms
64 bytes from 142.250.192.142: icmp_seq=189 ttl=111 time=105 ms
64 bytes from 142.250.192.142: icmp_seq=190 ttl=111 time=73.5 ms
64 bytes from 142.250.192.142: icmp_seq=191 ttl=111 time=82.9 ms
64 bytes from 142.250.192.142: icmp_seq=192 ttl=111 time=73.4 ms
64 bytes from 142.250.192.142: icmp_seq=193 ttl=111 time=79.4 ms
64 bytes from 142.250.192.142: icmp_seq=194 ttl=111 time=83.3 ms
64 bytes from 142.250.192.142: icmp_seq=195 ttl=111 time=91.7 ms
64 bytes from 142.250.192.142: icmp_seq=196 ttl=111 time=77.6 ms
64 bytes from 142.250.192.142: icmp_seq=197 ttl=111 time=437 ms
64 bytes from 142.250.192.142: icmp_seq=198 ttl=111 time=96.2 ms
64 bytes from 142.250.192.142: icmp_seq=199 ttl=111 time=213 ms
64 bytes from 142.250.192.142: icmp_seq=200 ttl=111 time=117 ms
64 bytes from 142.250.192.142: icmp_seq=201 ttl=111 time=84.8 ms
64 bytes from 142.250.192.142: icmp_seq=202 ttl=111 time=88.1 ms
64 bytes from 142.250.192.142: icmp_seq=203 ttl=111 time=71.2 ms
64 bytes from 142.250.192.142: icmp_seq=204 ttl=111 time=98.5 ms
64 bytes from 142.250.192.142: icmp_seq=205 ttl=111 time=61.4 ms
64 bytes from 142.250.192.142: icmp_seq=206 ttl=111 time=129 ms
64 bytes from 142.250.192.142: icmp_seq=207 ttl=111 time=153 ms
64 bytes from 142.250.192.142: icmp_seq=208 ttl=111 time=85.3 ms
64 bytes from 142.250.192.142: icmp_seq=209 ttl=111 time=198 ms
64 bytes from 142.250.192.142: icmp_seq=210 ttl=111 time=91.3 ms
64 bytes from 142.250.192.142: icmp_seq=211 ttl=111 time=117 ms
64 bytes from 142.250.192.142: icmp_seq=212 ttl=111 time=75.0 ms
64 bytes from 142.250.192.142: icmp_seq=213 ttl=111 time=103 ms
64 bytes from 142.250.192.142: icmp_seq=214 ttl=111 time=79.0 ms
64 bytes from 142.250.192.142: icmp_seq=215 ttl=111 time=83.3 ms
64 bytes from 142.250.192.142: icmp_seq=216 ttl=111 time=68.2 ms
64 bytes from 142.250.192.142: icmp_seq=217 ttl=111 time=189 ms
64 bytes from 142.250.192.142: icmp_seq=218 ttl=111 time=100 ms
64 bytes from 142.250.192.142: icmp_seq=220 ttl=111 time=1399 ms
64 bytes from 142.250.192.142: icmp_seq=221 ttl=111 time=1196 ms
64 bytes from 142.250.192.142: icmp_seq=222 ttl=111 time=1109 ms
64 bytes from 142.250.192.142: icmp_seq=224 ttl=111 time=1546 ms
64 bytes from 142.250.192.142: icmp_seq=225 ttl=111 time=1235 ms
64 bytes from 142.250.192.142: icmp_seq=227 ttl=111 time=1438 ms
64 bytes from 142.250.192.142: icmp_seq=228 ttl=111 time=1163 ms
64 bytes from 142.250.192.142: icmp_seq=229 ttl=111 time=884 ms
64 bytes from 142.250.192.142: icmp_seq=232 ttl=111 time=1519 ms
64 bytes from 142.250.192.142: icmp_seq=233 ttl=111 time=1571 ms
64 bytes from 142.250.192.142: icmp_seq=234 ttl=111 time=1602 ms
64 bytes from 142.250.192.142: icmp_seq=236 ttl=111 time=1543 ms
64 bytes from 142.250.192.142: icmp_seq=237 ttl=111 time=1559 ms
64 bytes from 142.250.192.142: icmp_seq=238 ttl=111 time=1566 ms
64 bytes from 142.250.192.142: icmp_seq=240 ttl=111 time=1974 ms
64 bytes from 142.250.192.142: icmp_seq=241 ttl=111 time=1126 ms
64 bytes from 142.250.192.142: icmp_seq=242 ttl=111 time=457 ms
64 bytes from 142.250.192.142: icmp_seq=243 ttl=111 time=846 ms
64 bytes from 142.250.192.142: icmp_seq=244 ttl=111 time=510 ms
64 bytes from 142.250.192.142: icmp_seq=245 ttl=111 time=879 ms
64 bytes from 142.250.192.142: icmp_seq=246 ttl=111 time=1380 ms
64 bytes from 142.250.192.142: icmp_seq=247 ttl=111 time=1168 ms
64 bytes from 142.250.192.142: icmp_seq=248 ttl=111 time=1289 ms
64 bytes from 142.250.192.142: icmp_seq=249 ttl=111 time=1543 ms
64 bytes from 142.250.192.142: icmp_seq=250 ttl=111 time=1371 ms
64 bytes from 142.250.192.142: icmp_seq=251 ttl=111 time=1067 ms
64 bytes from 142.250.192.142: icmp_seq=252 ttl=111 time=680 ms
64 bytes from 142.250.192.142: icmp_seq=253 ttl=111 time=85.2 ms
64 bytes from 142.250.192.142: icmp_seq=254 ttl=111 time=99.8 ms
64 bytes from 142.250.192.142: icmp_seq=255 ttl=111 time=753 ms
64 bytes from 142.250.192.142: icmp_seq=256 ttl=111 time=499 ms
64 bytes from 142.250.192.142: icmp_seq=257 ttl=111 time=797 ms
64 bytes from 142.250.192.142: icmp_seq=258 ttl=111 time=487 ms
64 bytes from 142.250.192.142: icmp_seq=259 ttl=111 time=849 ms
64 bytes from 142.250.192.142: icmp_seq=260 ttl=111 time=369 ms
64 bytes from 142.250.192.142: icmp_seq=261 ttl=111 time=95.3 ms
64 bytes from 142.250.192.142: icmp_seq=262 ttl=111 time=82.3 ms
64 bytes from 142.250.192.142: icmp_seq=263 ttl=111 time=161 ms
64 bytes from 142.250.192.142: icmp_seq=264 ttl=111 time=558 ms
64 bytes from 142.250.192.142: icmp_seq=265 ttl=111 time=1329 ms
64 bytes from 142.250.192.142: icmp_seq=266 ttl=111 time=1363 ms
64 bytes from 142.250.192.142: icmp_seq=267 ttl=111 time=1191 ms
64 bytes from 142.250.192.142: icmp_seq=268 ttl=111 time=1266 ms
64 bytes from 142.250.192.142: icmp_seq=269 ttl=111 time=1498 ms
64 bytes from 142.250.192.142: icmp_seq=270 ttl=111 time=1301 ms
64 bytes from 142.250.192.142: icmp_seq=271 ttl=111 time=937 ms
